itemCode;description;extraDescription;typeCode;classCode;stockingUOM;lotControlledInd;actualMaterialUpdateCode;mustSingleIssueInd;availableToPromiseInd;taxCode;groupSalesAnalysisRef1;groupSalesAnalysisRef2;groupSalesAnalysisRef3;groupSalesAnalysisRef4;groupSalesAnalysisRef5;masterScheduledInd;leadTimeDays;demandTimeFenceDays;firstDemandCode;secondDemandCode;minBalanceQty;MedidaLote;lotSize;orderPolicy;abcInventoryCode;purchasingUnitCode;sellingUOM;groupTechnologyCode;bracketGroupCode;primaryVendorCode;secondaryVendorCode;UPC;countryOfOriginCode;maxInventoryQty;horizonDays;requirementsCode;dailyLeadTimeRate;targetAnnualQty;minBalanceHorizonDays;secondaryGroupRef;packagingType;catalogNumberCode;pricingUOM;dropShipAllowedInd;controlDate5LeadTime;unitsPerPallet;netNetWeightPerUnit;weightPerUnit;weightUOM;length;lengthUOM;width;widthUOM;height;heightUOM;minOrderQty;stdOrderQty;incOrderQty;drawingOrFormulaCode
SP01DB4200S;CABEZAL - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP04DB4200S;ENSAMBLAJE FIJACIÓN DEL MANGO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP10DB4200S;ANILLO ENGANCHE DEL ARNES - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;3926909090;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP13DB4200S;CONJUNTO DE CONEXIÓN AL MOTOR - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409919900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP24DB4200S;TUBO DE ALUMINIO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP25DB4200S;FUNDA PROTECTORA- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;6307909000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP27DB4200S;EJE DE TRANSMISIÓN- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8483109900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP28DB4200S;EMPUÑADURA DERECHA, ACELERADOR- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP29DB4200S;EMPUÑADURA IZQUIERDA- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP30DB4200S;PROTECTOR INFERIOR FIJO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP31DB4200S;PROTECTOR INFERIOR DESMONTABLE - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP34DB4200S;ARNES PROFESIONAL- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;6307909000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP35DB4200S;PERNO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;7318159000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP37DB4200S;TAMBOR DE EMBRAGUE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8483909000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP44DB4200S;VOLANTE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8483500000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP52DB4200S;ÁRBOL DE LEVAS- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8483109200;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP57DB4200S;ARRANQUE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP67DB4200S;SILENCIADOR- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP72DB4200S;CONJUNTO PISTONES- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409914000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP78DB4200S;ANILLO PISTÓN- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409915000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP79DB4200S;JUNTA CILINDRO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409919900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP80DB4200S;CILINDRO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409919900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP81DB4200S;BUJÍA- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8511109000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP83DB4200S;TAPA DE CILINDRO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409919900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP85DB4200S;TAPA SUPERIOR- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP89DB4200S;TUBO DE ADMISIÓN- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409919900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP92DB4200S;CARBURADOR- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409916000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP93DB4200S;FILTRO DE AIRE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8421310000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP96DB4200S;TAPA DEL FILTRO DE AIRE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8421999000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP100DB4200S;DEPÓSITO DE COMBUSTIBLE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;3923900000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP101DB4200S;BASTIDOR DE SOPORTE DEL DEPÓSITO DE COMBUSTIBLE- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0